Player_Name,Nation,Pos,Team,League,M_played,Starting_11,Minutes_Played,Goals,Assists,Goals_Assists,Goals_non_Penalty,Penalty_Goals,Yellow_Cards,Red_Cards
Valentín Barco,ARG,"DF,MF",Strasbourg,fr_ligue_1,5,5,384,0,1,1,0,0,2,0
Bradley Barcola,FRA,FW,Paris S-G,fr_ligue_1,25,22,1687,13,7,20,13,0,2,0
Melvin Bard,FRA,"DF,MF",Nice,fr_ligue_1,17,15,1312,1,0,1,1,0,4,1
Nicolò Barella,ITA,MF,Inter,it_serie_a,25,24,1929,3,5,8,3,0,3,0
Gabriel Bares,SUI,"MF,DF",Montpellier,fr_ligue_1,6,0,56,0,0,0,0,0,0,0
Borna Barišić,CRO,DF,Leganés,es_la_liga,1,1,9,0,0,0,0,0,0,0
Kike Barja,ESP,"FW,MF",Osasuna,es_la_liga,9,3,247,0,0,0,0,0,2,0
Ross Barkley,ENG,MF,Aston Villa,eng_premier_league,16,3,554,3,1,4,3,0,3,0
Aymen Barkok,MAR,MF,Mainz 05,de_bundesliga,4,0,73,0,0,0,0,0,0,0
Harvey Barnes,ENG,FW,Newcastle Utd,eng_premier_league,23,7,903,5,2,7,5,0,0,0
Enzo Barrenechea,ARG,MF,Valencia,es_la_liga,20,17,1397,1,2,3,1,0,5,0
Ander Barrenetxea,ESP,"MF,FW",Real Sociedad,es_la_liga,22,9,905,1,2,3,1,0,4,0
Pablo Barrios,ESP,MF,Atlético Madrid,es_la_liga,21,19,1601,0,2,2,0,0,4,1
Thierno Barry,FRA,FW,Villarreal,es_la_liga,25,17,1576,8,3,11,7,1,3,0
Davide Bartesaghi,ITA,DF,Milan,it_serie_a,2,0,50,0,0,0,0,0,0,1
Marc Bartra,ESP,DF,Betis,es_la_liga,15,14,1286,2,0,2,2,0,1,0
Federico Baschirotto,ITA,DF,Lecce,it_serie_a,28,28,2520,0,0,0,0,0,2,0
Daniele Baselli,ITA,MF,Como,it_serie_a,2,1,22,0,0,0,0,0,0,0
Calvin Bassey,NGA,DF,Fulham,eng_premier_league,27,26,2354,1,0,1,1,0,5,0
Aboubacar Bassinga,CIV,MF,Las Palmas,es_la_liga,1,0,4,0,0,0,0,0,0,0
Alessandro Bastoni,ITA,DF,Inter,it_serie_a,27,26,2013,1,4,5,1,0,3,0
Player,N,Pos,Squad,comp,0,0,0,0,0,0,0,0,0,0
Augusto Batalla,ARG,GK,Rayo Vallecano,es_la_liga,22,22,1980,0,0,0,0,0,3,0
Michy Batshuayi,BEL,"FW,DF",Eint Frankfurt,de_bundesliga,4,2,151,1,0,1,1,0,1,0
Dylan Batubinsika,COD,DF,Saint-Étienne,fr_ligue_1,23,21,1881,0,0,0,0,0,3,1
Maximilian Bauer,GER,DF,Augsburg,de_bundesliga,11,8,658,0,0,0,0,0,1,0
Oliver Baumann,GER,GK,Hoffenheim,de_bundesliga,20,20,1800,0,0,0,0,0,0,0
Christoph Baumgartner,AUT,MF,RB Leipzig,de_bundesliga,23,13,1160,2,1,3,2,0,5,0
Rafael Bauza,ESP,MF,Espanyol,es_la_liga,5,2,183,0,0,0,0,0,1,0
Adrian Beck,GER,"MF,FW",Heidenheim,de_bundesliga,23,9,861,2,1,3,2,0,0,0
Sheraldo Becker,SUR,"FW,MF",Real Sociedad,es_la_liga,20,11,971,2,1,3,2,0,1,1
Timo Becker,GER,DF,Holstein Kiel,de_bundesliga,21,20,1718,0,2,2,0,0,1,0
Jan Bednarek,POL,DF,Southampton,eng_premier_league,23,23,1901,2,0,2,2,0,5,0
